"Gene_ID","PC1_Loading","PC2_Loading","Gene_Name","PC1_Direction","PC2_Direction"
"ENSMUSG00000021494",0.00892478385906206,0.000188349655603134,"Ddx41","Positive","Positive"
"ENSMUSG00000034235",0.00892460161184551,-0.0011673040967273,"Usp54","Positive","Negative"
"ENSMUSG00000002372",0.00892455692757041,-0.00243418550394486,"Ranbp3","Positive","Negative"
"ENSMUSG00000061136",0.00892451679978389,0.00236329151491516,"Prpf40a","Positive","Positive"
"ENSMUSG00000003345",0.00892448189854149,-0.00125465894426753,"Csnk1g2","Positive","Negative"
"ENSMUSG00000022517",0.00892444738027819,0.00183690002222165,"Mgrn1","Positive","Positive"
"ENSMUSG00000038188",0.00892442986590273,0.000262778772898705,"Scarf1","Positive","Positive"
"ENSMUSG00000032965",0.00892409630917881,0.00031339677434655,"Ift57","Positive","Positive"
"ENSMUSG00000085795",0.00892395384506028,-0.00224958676728339,"Zfp703","Positive","Negative"
"ENSMUSG00000027905",0.00892393998289532,-0.000706939872226467,"Ddx20","Positive","Negative"
"ENSMUSG00000036249",0.00892385896842916,-0.000417303557324856,"Rbm43","Positive","Negative"
"ENSMUSG00000020694",0.00892381478114403,-0.000486906115957673,"Tlk2","Positive","Negative"
"ENSMUSG00000027835",0.00892381155112942,0.00226026365702186,"Pdcd10","Positive","Positive"
